"timestamp","game_id","player_id","player_type","player_color","current_turn","action","action_status","displayed_score","wagons_cards_hand_count","destination_cards_hand_count","calculated_current_destination_score"
"343310669409800","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","13","CLAIM_ROUTE","YES","9","4","4","-45"
"343310669642200","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","49bc14b8-ddba-46d3-9bf2-3ad8696f107f","MEDIUM_BOT","GREEN","13","CLAIM_ROUTE","YES","15","7","4","-44"
"343310669904600","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","14","CLAIM_ROUTE","YES","10","3","4","-40"
"343310670204000","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","14","PICK_WAGON_CARD","YES","11","6","4","-45"
"343310670451900","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","49bc14b8-ddba-46d3-9bf2-3ad8696f107f","MEDIUM_BOT","GREEN","14","PICK_WAGON_CARD","YES","22","9","4","-44"
"343310670790400","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","15","PICK_WAGON_CARD","YES","12","5","4","-40"
"343310671596900","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","15","CLAIM_ROUTE","YES","11","4","4","-45"
"343310671708000","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","49bc14b8-ddba-46d3-9bf2-3ad8696f107f","MEDIUM_BOT","GREEN","15","PICK_WAGON_CARD","YES","22","11","4","-44"
"343310672007100","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","16","CLAIM_ROUTE","YES","12","3","4","-40"
"343310672183600","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","16","PICK_WAGON_CARD","YES","13","6","4","-45"
"343310672421500","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","49bc14b8-ddba-46d3-9bf2-3ad8696f107f","MEDIUM_BOT","GREEN","16","CLAIM_ROUTE","YES","22","7","4","-44"
"343310672629700","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","17","CLAIM_ROUTE","YES","14","1","4","-40"
"343310672869700","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","17","CLAIM_ROUTE","YES","13","3","4","-45"
"343310672939900","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","49bc14b8-ddba-46d3-9bf2-3ad8696f107f","MEDIUM_BOT","GREEN","17","PICK_WAGON_CARD","YES","29","9","4","-44"
"343310673067600","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","18","PICK_WAGON_CARD","YES","16","3","4","-40"
"343310673221100","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","18","PICK_WAGON_CARD","YES","17","5","4","-45"
"343310673280200","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","49bc14b8-ddba-46d3-9bf2-3ad8696f107f","MEDIUM_BOT","GREEN","18","PICK_WAGON_CARD","YES","29","11","4","-44"
"343310673494500","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","19","CLAIM_ROUTE","YES","16","1","4","-40"
"343310673725500","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","19","CLAIM_ROUTE","YES","17","3","4","-45"
"343310673923000","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","49bc14b8-ddba-46d3-9bf2-3ad8696f107f","MEDIUM_BOT","GREEN","19","CLAIM_ROUTE","YES","29","7","4","-44"
"343310674234800","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","20","PICK_WAGON_CARD","YES","18","3","4","-40"
"343310674434200","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","20","PICK_WAGON_CARD","YES","19","5","4","-45"
"343310674523500","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","49bc14b8-ddba-46d3-9bf2-3ad8696f107f","MEDIUM_BOT","GREEN","20","PICK_WAGON_CARD","YES","36","9","4","-44"
"343310675170800","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","21","CLAIM_ROUTE","YES","18","1","4","-40"
"343310675437600","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","21","CLAIM_ROUTE","YES","19","3","4","-45"
"343310675647000","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","49bc14b8-ddba-46d3-9bf2-3ad8696f107f","MEDIUM_BOT","GREEN","21","CLAIM_ROUTE","YES","36","6","4","-44"
"343310675814400","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","22","PICK_WAGON_CARD","YES","20","3","4","-40"
"343310675967600","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","22","PICK_WAGON_CARD","YES","21","5","4","-45"
"343310676039200","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","49bc14b8-ddba-46d3-9bf2-3ad8696f107f","MEDIUM_BOT","GREEN","22","PICK_WAGON_CARD","YES","40","8","4","-44"
"343310676252200","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","23","CLAIM_ROUTE","YES","20","1","4","-40"
"343310676455200","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","23","CLAIM_ROUTE","YES","21","3","4","-45"
"343310676558800","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","49bc14b8-ddba-46d3-9bf2-3ad8696f107f","MEDIUM_BOT","GREEN","23","PICK_WAGON_CARD","YES","40","10","4","-44"
"343310676746900","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","24","PICK_WAGON_CARD","YES","22","3","4","-40"
